z     X(z) [Mpc*s/km/h]		X(z) [Mpc/h]		
0	0.0000000000000		0.0
1	0.0076666061993		2299.98226517	
2	0.0119871209335		3596.1427516
3	0.0146891267384		4406.77036987
4	0.0165597388161		4968.02644089
5	0.0179490371551		5384.71114676
6	0.0190314577278		5709.43731879
7	0.0199052328299		5971.56984982
8	0.0206296011319		6188.88034101
9	0.0212427142853		6372.8142879
10	0.0217703728979		6531.11187291
1100	0.0315086190344		9452.58571032
